"Moth (Lepidoptera) data from Valles Caldera National Preserve, New Mexico",.,.,.,.,.,.,.,Site,MC01,MC01,MC01,MC04,MC04,MC04,MC05,MC05,MC05,MC06,MC06,MC06,MC09,MC09,MC09,MC10,MC10,MC10,MC11,MC11,MC11,MC12,MC12,MC12,PP02,PP02,PP02,PP03,PP03,PP03,PP04,PP04,PP04,PP06,PP06,PP06,PP07,PP07,PP07,PP10,PP10,PP10,PP11,PP11,PP11,PP12,PP12,PP12
"Data collected in 2012, the first year following the 2011 Las Conchas Fire.",.,.,.,.,.,.,.,Dates,6/14-6/15,7/15-7/16,8/27-8/29,6/20-6/21,7/19/-7/20,8/28-8/29,6/12-6/13,7/11-7/12,8/23-8/24,6/12-6/13,7/19/-7/20,8/28-8/29,6/12-6/13,7/17-7/18,8/21-8/22,6/12-6/13,7/15-7/16,8/22-8/23,6/13-6/14,7/11-7/12,8/22-8/23,6/13-6/14,7/17-7/18,8/29-8/30,6/5-6/6,7/24-7/25,8/26-8/27,6/8-6/9,7/9-7/10,8/21-8/22,6/20-6/21,7/19/-7/20,8/28-8/29,6/5-6/6,7/24-7/25,8/26-8/27,6/8-6/9,7/17-7/18,8/21-8/22,6/5-6/6,7/9-7/10,8/22-8/23,6/8-6/9,7/9-7/10,8/26-8/27,6/5-6/6,7/16-7/17,8/21-8/22
.,.,.,.,.,.,.,.,Forest Type,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa
.,.,.,.,.,.,.,.,Treatment,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
Geometridae,Larentiinae,Hydriomenini,Coryphista,meadi,9,Coryphista meadi Packard,Shrub,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0
Geometridae,Larentiinae,Hydriomenini,Ecliptoptera,silaceata,24,Ecliptoptera silaceata (Denis & Schiffermuller),Herbaceous,60,0,4,0,0,0,0,0,1,0,0,0,0,0,6,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Geometridae,Larentiinae,Hydriomenini,Entephria,polata,2,Entephria polata (Duponchel),Broadleaf trees/shrubs,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Larentiinae,Hydriomenini,Eulithis,cf. divisilineata,2,Eulithis cf. diversilineata (Hübner),Broadleaf trees/shrubs,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Larentiinae,Hydriomenini,Eulithis,xylina,10,Eulithis xylina (Hulst),Broadleaf trees/shrubs,63,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Larentiinae,Hydriomenini,Eustroma,semiatrata,1,Eustroma semiatrata Hulst,Herbaceous,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Geometridae,Larentiinae,Hydriomenini,Hydriomena,barnesata,1,Hydriomena barnesata Swett,Unknown,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Larentiinae,Hydriomenini,Hydriomena,chiricahuata,1,Hydriomena chiricahuata Swett,Unknown,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Larentiinae,Hydriomenini,Hydriomena,morosata,7,Hydriomena morosata Barnes & McDunnough,Unknown,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Geometridae,Larentiinae,Hydriomenini,Hydriomena,nubilofasciata,279,Hydriomena nubilofasciata (Packard),Oaks,68,0,14,0,0,6,0,0,5,0,0,0,0,0,17,0,0,20,0,0,54,0,0,64,0,0,0,0,0,7,0,1,8,0,0,0,0,0,13,0,0,33,0,0,4,0,0,33,0
Geometridae,Larentiinae,Hydriomenini,Rheumaptera,prunivorata,41,Rheumaptera prunivorata (Ferguson),Broadleaf trees/shrubs,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
Geometridae,Larentiinae,Stamnodini,Stamnodes,morrisata,12,Stamnodes morrisata Hulst,Juniper,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0
Geometridae,Larentiinae,Xanthorhoini,Euphyia,implicata,3,Euphyia implicata Guenée,Herbaceous,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Geometridae,Larentiinae,Xanthorhoini,Xanthorhoe,munitata,45,Xanthorhoe munitata (Hübner),Herbaceous,72,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,17,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Sterrhinae,Hydriomenini,Spargania,aurata,61,Spargania aurata (Grote),Herbaceous,73,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,4,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0
Geometridae,Sterrhinae,Scopulini,Scopula,ancellata,66,Scopula ancellata (Hulst),Herbaceous,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,2,3,0,8,0,0,0,0,0,13,0,0,2,0,0,24,0,0,1,0,0
Geometridae,Sterrhinae,Scopulini,Scopula,subfuscata,1,Scopula subfuscata (Taylor),Herbaceous,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasiocampidae,Lasiocampinae,,Malacomosa,californicum,20,Malacosoma californicum (Packard),Broadleaf trees/shrubs,76,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Lasiocampidae,Lasiocampinae,,Malacosoma,sp.,1,Malacosoma sp. ,Unknown,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Acronictinae,Acronictini,Acronicta,implecta,1,Acronicta impleta Walker,Broadleaf trees/shrubs,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Heliothinae,Heliothini,Helicoverpa,zea,1,Helicoverpa zea Boddie,Broadleaf trees/shrubs,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Apameini,Amphipoea,americana,185,Amphipoea americana (Speyer),Herbaceous,80,0,0,6,0,0,11,0,0,1,0,0,5,0,0,61,0,0,11,0,0,6,0,0,0,0,0,31,0,0,4,0,0,2,0,0,2,0,0,38,0,0,0,0,0,2,0,0,5
Noctuidae,Noctuinae,Apameini,Amphipoea,lunata,82,Amphipoea lunata (Smith),Unknown,81,0,0,2,0,0,3,0,0,12,0,0,0,0,0,12,0,0,2,0,0,5,0,0,1,0,0,7,0,0,2,0,0,0,0,0,9,0,0,6,0,0,12,0,0,8,0,0,1
Noctuidae,Noctuinae,Apameini,Amphipoea,senilis,4,Amphipoea senilis (Smith),Unknown,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Apameini,Apamea,amputatrix,2,Apamea amputatrix (Fitch),Herbaceous,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Noctuidae,Noctuinae,Apameini,Apamea,atrosuffusa,28,Apamea atrosuffusa (Barnes & McDunnough),Unknown,84,0,0,0,3,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,1,0,0,0,0,5,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Apameini,Apamea,devastator,34,Apamea devastator (Brace),Herbaceous,85,0,3,0,0,5,0,0,7,0,0,3,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0
Noctuidae,Noctuinae,Apameini,Apamea,fergusoni,1,Apamea fergusoni Mikkola & Lafontaine,Unknown,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Noctuidae,Noctuinae,Apameini,Apamea,inficita,220,Apamea inficita (Walker),Unknown,87,0,0,2,0,0,0,0,0,6,0,0,1,0,0,17,0,0,31,0,0,30,0,0,0,0,0,1,0,0,22,0,0,23,0,0,3,0,0,39,0,0,37,0,0,6,0,0,2
Noctuidae,Noctuinae,Apameini,Apamea,occidens,15,Apamea occidens (Grote),Herbaceous,88,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Apameini,Apamea,relicina,49,Apamea relicina (Morrison),Unknown,89,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,33,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Noctuidae,Noctuinae,Apameini,Apamea,sordens,8,Apamea sordens (Guenée),Unknown,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Noctuidae,Noctuinae,Apameini,Eremobina,claudens,4,Eremobina claudens (Walker),Herbaceous,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Apameini,Oligia,egens,1,Oligia egens (Walker),Unknown,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Apameini,Oligia,indirecta,1,Oligia indirecta (Walker),Herbaceous,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Eriopygini,Anhypotrix,tristis,24,Anhypotrix tristis (Barnes & McDunnough),Unknown,94,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3,1,0,1,4,0,0,0,0
Noctuidae,Noctuinae,Eriopygini,Homorthodes,reliqua,29,Homorthodes reliqua (Smith),Unknown,95,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0
Noctuidae,Noctuinae,Eriopygini,Hypotrix,basistriga,6,"Hypotrix basistriga  Lafontaine, Ferris, & Walsh",Unknown,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Eriopygini,Hypotrix,parallela,124,Hypotrix parallela (Grote),Unknown,97,0,1,0,0,1,0,0,1,0,0,2,0,0,5,0,0,23,0,0,5,0,0,4,0,0,0,0,0,3,0,0,2,0,0,0,0,0,22,0,0,27,0,0,6,0,0,22,0
Noctuidae,Noctuinae,Eriopygini,Hypotrix,trifascia,9,Hypotrix trifascia (Smith),Unknown,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Noctuidae,Noctuinae,Eriopygini,Lacanobia,subjuncta,3,Lacanobia subjuncta (Grote & Robinson),Polyphagous,99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Noctuidae,Noctuinae,Eriopygini,Lacinipolia,lepidula,1,Lacinipolia lepidula (Smith),Unknown,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Noctuidae,Noctuinae,Eriopygini,Lacinipolia,olivacea,210,Lacinipolia olivacea (Morrison),Herbaceous,101,1,3,0,8,28,0,0,2,0,0,3,0,5,1,0,47,1,2,20,0,0,10,1,1,0,0,0,3,5,0,36,6,0,0,2,0,3,0,0,4,0,0,13,0,0,5,0,0
Noctuidae,Noctuinae,Eriopygini,Lacinipolia,pensilis,67,Lacinipolia pensilis (Grote),Polyphagous,102,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
Noctuidae,Noctuinae,Eriopygini,Lacinipolia,reginera,197,Lacinipolia renigera (Stephens),Herbaceous,103,0,5,0,0,6,0,0,11,0,0,7,0,1,23,0,2,29,0,3,28,0,2,0,0,0,2,0,0,19,0,0,17,0,0,4,0,0,2,0,0,14,0,21,0,0,1,0,0
Noctuidae,Noctuinae,Eriopygini,Neleucania,patricia,83,Neleucania patricia (Grote),Herbaceous,104,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,26,0,0,1,0,0,3,0
Noctuidae,Noctuinae,Eriopygini,Protothordes,oviduca,5,Protorthodes oviduca (Guenée),Herbaceous,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Noctuidae,Noctuinae,Eriopygini,Pseudorthodes,virgula,115,Pseudorthodes virgula (Grote),Polyphagous,106,0,2,0,0,0,0,0,10,0,0,1,0,0,22,0,0,23,0,0,5,0,0,18,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,7,0,0,2,0,0,0,0
Noctuidae,Noctuinae,Eriopygini,Ulolonche,dilecta,8,Ulolonche dilecta (H. Edwards),Unknown,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
Noctuidae,Noctuinae,Hadenini,Hada,sutrina,1,Hada sp.,Unknown,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Noctuidae,Noctuinae,Hadenini,Hadena,lafontainei,19,Hadena lafontainei Troubridge & Crabo,Herbaceous,109,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Hadenini,Hydroeciodes,serrata,7,Hydroeciodes serrata (Grote),Unknown,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Noctuidae,Noctuinae,Hadenini,Mamestra,configurata,2,Mamestra configurata (Walker),Herbaceous,111,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Hadenini,Polia,discalis,1,Polia discalis (Grote),Shrub,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Hadenini,Trichordestra,dodii,1,Trichordestra dodii (Smith),Polyphagous,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Leucaniini,Leucania,anteroclara,231,Leucania anteroclara Smith,Herbaceous,114,1,1,0,1,9,0,1,6,0,0,2,0,1,8,0,37,15,0,5,81,0,4,9,0,0,0,0,0,2,0,3,3,0,0,0,0,0,5,0,1,26,0,0,2,0,0,8,0
Noctuidae,Noctuinae,Leucaniini,Leucania,dia,104,Leucania dia (Grote),Herbaceous,115,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,12,0,0,38,0,0,14,0,0,1,0,0,2,8,0,8,0,0,0,0,0,1,0,0,6,0,0,3,0,0,3,0,0
Noctuidae,Noctuinae,Leucaniini,Mythimna,oxygala,151,Mythimna oxygala (Grote),Herbaceous,116,0,2,0,0,10,0,0,0,0,0,2,0,0,54,0,1,30,0,0,0,0,0,2,0,0,2,0,0,11,0,1,5,0,0,3,0,0,9,0,0,19,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Leucaniini,Mythimna,unipuncta,10,Mythimna unipuncta (Haworth),Herbaceous,117,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Abagrotis,bimarginalis,205,Abagrotis bimarginalis (Grote),Unknown,118,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,138,0,0,17,0,0,11,0
Noctuidae,Noctuinae,Noctuini,Abagrotis,discoidalis,9,Abagrotis discoidalis (Grote),Shrub,119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Abagrotis,duanca,5,Abagrotis duanca (Smith),Shrub,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Abagrotis,forbesi,6,Abagrotis forbesi (Benjamin),Shrub,121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
Noctuidae,Noctuinae,Noctuini,Abagrotis,glenni,20,Abagrotis glenni Buckett,Juniper,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Abagrotis,reedi,1,Abagrotis reedi Buckett,Broadleaf trees/shrubs,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Abagrotis,striata,2,Abagrotis striata Buckett,Juniper,124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Abagrotis,trigona,8,Abagrotis trigona (Smith),Shrub,125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Agnorisma,bugrai,36,Agnorisma bugrai (Koçak),Unknown,126,0,0,4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,8,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0
Noctuidae,Noctuinae,Noctuini,Agrotis,ipsilon,11,Agrotis ipsilon (Hufnagel),Herbaceous,127,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Agrotis,vancouverensis,172,Agrotis vancouverensis Grote,Herbaceous,128,0,0,5,3,1,0,0,0,0,1,1,8,6,1,4,6,0,32,0,0,8,0,0,2,0,0,5,2,4,5,5,0,0,0,0,11,0,0,11,0,0,40,1,0,9,0,1,0
Noctuidae,Noctuinae,Noctuini,Agrotis,venerabilis,8,Agrotis venerabilis Walker,Herbaceous,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Anicla,espoetia,11,Anicla espoetia (Dyar),Herbaceous,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Noctuidae,Noctuinae,Noctuini,Anicla,exuberans,164,Anicla exuberans (Smith),Herbaceous,131,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,10,0,0,15,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,61,0,0,37,0,0,9,0
Noctuidae,Noctuinae,Noctuini,Anicla,mus,12,Anicla mus Lafontaine,Herbaceous,132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Noctuidae,Noctuinae,Noctuini,Diarsia,rosaria,8,Diarsia rosaria (Grote),Herbaceous,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Noctuidae,Noctuinae,Noctuini,Dichagyris,grandipennis,3,Dichagyris grandipennis Grote,Unknown,134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Noctuidae,Noctuinae,Noctuini,Dichagyris,grotei,1,Dichagyris grotei  (Franclemont & Todd),Shrub,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Noctuidae,Noctuinae,Noctuini,Eurois,nigra,22,Eurois nigra (Smith),Polyphagous,136,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Eurois,occulta,13,Eurois occulta (Linnaeus),Polyphagous,137,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Noctuidae,Noctuinae,Noctuini,Euxoa,antica,1,Euxoa antica Lafontaine,Unknown,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,atomaris,35,Euxoa atomaris (Smith),Herbaceous,139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,9,0,0,4,0,0,0,0,0,0,0,0,7,1,0,8,0,0,2,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,auxiliaris,2349,Euxoa auxiliaris (Grote),Herbaceous,140,18,1,0,191,1,0,25,4,0,65,0,0,111,1,0,59,3,0,151,0,12,746,0,0,26,1,0,248,2,0,273,0,0,25,2,0,18,1,1,15,3,0,331,0,0,15,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,basalis,4,Euxoa basalis (Grote),Herbaceous,141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
